start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,La información que compartas en este instrumento es anónima y sólo será usada para fines investigativos.,NOMBRE DEL CENTRO EDUCATIVO,"1. Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. ",Ponle un hashtag (#) o un título a tu historia:,La historia que contaste te genera,¿Con qué frecuencia sucede la situación que narraste en la historia? ,"En general, mi experiencia se relaciona con...","En general, mi experiencia se relaciona con.../La comunidad y las relaciones.","En general, mi experiencia se relaciona con.../La filosofía de la institución.","En general, mi experiencia se relaciona con.../Aprendizaje y crecimiento.","En general, mi experiencia se relaciona con.../Los problemas como oportunidades.","En general, mi experiencia se relaciona con.../Premios y reconocimiento.","En general, mi experiencia se relaciona con.../Autonomía y soporte.","En general, mi experiencia se relaciona con.../Desarrollo general del estudiante.","En general, mi experiencia se relaciona con.../Crecimiento personal y logros.","En general, mi experiencia se relaciona con.../Otro",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál","Mientras escribías la historia, sentiste que","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades manuales: tejer, sembrar, cocinar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Ninguna de las anteriores","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución ","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Trabajo Colaborativo.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Sostenibilidad.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Pensamiento Crítico.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Resolución de problemas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de herramientas tecnológicas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de la Información y Comunicación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Creatividad e Innovación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Vida y Carrera.","De acuerdo con la historia que constaste, cuál fue tu rol como agente educativo ",_id,_uuid,_submission_time,_validation_status,_index,tipo,grupo,jornada
2020-11-14T07:54:40.513-05:00,2020-11-17T16:38:21.689-05:00,2020-11-13,Sí,2020-11-14,Atlántico,,CORPORACION DESARROLLO SOCIAL JAIME URQUIJO BARRIOS,Una esperiencia muy significativa una ves que mi hijo viajó pero cuando llegamos al aeropuerto pidieron una tarjeta de turismo pero yo no tenía conocimiento de eso y no llevé el dinero en ese momento comense a orar y de pronto vi una  persona bien areglada y le conte  lo qy,Tener fe,Alegría,De vez en cuando,La comunidad y las relaciones.,1,0,0,0,0,0,0,0,0,Familias y otras personas significativas,,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,138250089,5df10630-bd72-4ea5-af87-197e1e1e44ef,2020-11-17T21:38:34,,1,,,
2020-11-14T12:14:41.537-05:00,2020-11-14T12:28:21.676-05:00,2020-11-13,Sí,2020-11-14,Magdalena,,APF BANCA DEL FERROCARRIL,Es un niño al cual se le estimula ya que su aprendizaje es lento como lo que hace para su edad fuera de un niño de menos edad y he descubierto que es observativo que a los vídeo le presta atención he contado grabarle video cuando quiero que aprenda algo,Por medio de la tecnología aprendo,Motivación,Todo el tiempo,Los problemas como oportunidades.,0,0,0,1,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Manejo de herramientas tecnológicas.,0,0,0,0,1,0,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,137427694,73f33689-f5e9-465f-b0fe-e6829b57c520,2020-11-14T17:28:33,,2,,,
2020-11-11T22:29:00.979-05:00,2020-11-11T22:47:54.838-05:00,2020-11-10,Sí,2020-11-11,La Guajira,,UCA VIVA LA INFANCIA,"Hace un tiempo decidí darme la oportunidad de experimentar nuevas cosas en mi vida laboral. nunca había sido docente de primera infancia, pero Dios me dio la oportunidad de empleo. Soy maestra en artes plásticas y no imaginé que con ello pudiera enriquecer mi vida y mi profesión a la vez que enseño a los niños y las niñas a explorar, imaginar, crear y expresarse a través del arte... Actualmente mis niños y niñas me demuestran cuanto les gusta realizar sus actividades y demostrar sus habilidades artísticas en cada experiencia, lo cual resulta significativo para mi ya que ellos cada día aprenden cosas nuevas y me hacen valorar mucho más mi profesión y querer seguir por este camino el cual emprendí hace 2 años.",#AmaLoQueDecidas,Motivación,Todo el tiempo,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Potenciar el desarrollo de los niños y las niñas.,136784942,4c23f4fb-c8ea-4fd1-8caf-871dee7651ec,2020-11-12T03:48:06,,3,,,
2020-11-13T11:21:55.293-05:00,2020-11-13T11:31:13.767-05:00,2020-11-12,Sí,2020-11-13,La Guajira,,RISAS Y SUEÑOS,El año pasado un grupo de niñas me sorprendió el día de mi cumpleaños haciéndome la maqueta de una torta con unos cojines en forma de porciones de torta que había en el C.D.I. Ellas hicieron su torta y me dijeron / seño/ feliz cumpleaños. Esto me emociono tanto que llore de la emoción.,MI MAS TIERNO CUMPLEAÑOS.,Motivación,De vez en cuando,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Manejo de la Información y Comunicación.,0,0,0,0,0,1,0,0,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,137213198,25805e6f-fa7a-4972-a46e-99d3386d5765,2020-11-13T16:31:26,,4,,,
2020-11-12T18:42:43.530-05:00,2020-11-13T11:34:09.381-05:00,2020-11-11,Sí,2020-11-13,Magdalena,,HOGAR INFANTIL SEDE,i experiencia significativa es el nacimiento de mi nieta,Nacimiento de mi nieta,Alegría,Todo el tiempo,Crecimiento personal y logros.,0,0,0,0,0,0,0,1,0,Familias y otras personas significativas,No,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Vida y Carrera.,0,0,0,0,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,137213951,6acf379d-4c8b-4aa2-b208-58037d295920,2020-11-13T16:34:21,,5,,,
2020-11-17T22:24:55.493-05:00,2020-11-17T22:38:38.886-05:00,2020-11-16,Sí,2020-11-17,Atlántico,,MUNDO MARAVILLOSOS DE LAS MERCEDES,"Mi experiencia fue con un padre de familia que se quejo con los veedores del municipio  por que segun el yo le maltrate a su niño, en ese momento senti rabia e impotencia por que ese niño yo lo cuidaba bien tenia mucho cuidado con el. lo positivo de la historia es que mi coordinadora y companeras me apoyaron senti que no estaba sola con este problema.",compañerismo,Impotencia ,Única vez,La comunidad y las relaciones. Los problemas como oportunidades.,1,0,0,1,0,0,0,0,0,Familias y otras personas significativas,no,Fui muy honesto y conté lo que me pasó,Ninguna de las anteriores,0,0,0,0,0,1,Trabajo Colaborativo. Resolución de problemas.,1,0,0,1,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,138276677,d3bf268f-38ef-4fd0-be44-c169b070cc44,2020-11-18T03:38:48,,6,,,
2020-11-17T11:03:46.808-05:00,2020-11-17T11:11:10.557-05:00,2020-11-16,Sí,2020-11-17,Magdalena,,CORPORACION COMUNITARIA NUTRIR,"Un día en la unidad de servicio Guayabitas donde laboro, estaba realizando una actividad llamada abrazaton, consistía en pedirle un abrazo a los usuarios, luego me tocó el turno a un niño de tres años llamado Yener, y le dije sonriendo Regalame un abrazo y el me responde aja seño y esa farteda, no esperaba esa respuesta, fue algo muy jocoso y todos nos reímos, pero del mismo modo fue algo muy significativo ya que me motivo a seguir fortaleciendo actividad es de este tipo para fortalecer los vínculos afectivos y la expresión de sentimientos",#elabrazaton,Motivación,De vez en cuando,La comunidad y las relaciones. Aprendizaje y crecimiento. Los problemas como oportunidades. Desarrollo general del estudiante.,1,0,1,1,0,0,1,0,0,Niños/niñas,Niños mamitas usuarias y agente educativo,Reflexioné y aprendí algo nuevo,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Pensamiento Crítico. Resolución de problemas. Creatividad e Innovación.,1,0,1,1,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,138184431,2003c4f0-0cd3-4954-8e93-3b622e10ca43,2020-11-17T16:11:24,,7,,,
2020-11-16T22:17:16.091-05:00,2020-11-17T22:30:11.675-05:00,2020-11-15,Sí,2020-11-16,Chocó,,HOGAR INFANTIL NICOLAS MEDRANO,"Tuve una niña de dos años la cual por muchas ocasiones la arañaban, solo en la cara, pero cosa tan rara que por. As cuidado que le ponía resultaba lección ada, pero hasta allí llegaba mi día feliz ñlesperaba la reacción desagradable de los padres y lo primero que me gritaban era póngale más cuidado. Me sentía muy dolida de esa frase. Hasta que descubrí quien era el niño implicado, pude deducir que eran se los porque entre más cuidado le ponía más arañas le hacia. Estuve muchos diálogos con los padres donde le pedí disculpa y que me ponía en los zapatos de ellos, pero que me entendieran, que yo no quisiera que le pasara ni lo mínimo a estos niños y niñas que ellos eran como mis hijos. Lo positivo fue que los padres me entendieron y me pidieron disculpa por el trato que me habían dado",Mi preocupación,Tranquilidad,De vez en cuando,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas.,0,0,0,1,0,0,0,0,Potenciar el desarrollo de los niños y las niñas.,138275617,b042825f-8554-46cc-aa6f-38cfccb1d136,2020-11-18T03:30:24,,8,,,
2020-11-17T15:25:31.634-05:00,2020-11-17T15:44:22.787-05:00,2020-11-16,Sí,2020-11-17,Bogotá,,LOS BULLICIOSOS,"Mi nombre es Nina Linares roa, mi narrativa es que hace 20 años soy madre Comunitaria y me he sentido feliz porque he aprendido a conocer diferentes clases de niños y niñas, he tenido niños de Santander, Antioquia, Venezuela y de otras partes que en este momento no recuerdo. Junto a ellos he aprendido a manejar y conocer sus costumbres, he sacado muchos niños para el colegio y se les ha realizado su grado, tanto los niños, papitos y yo misa nos hemos sentido felices porque cuando se les celebra el grado a cada niño ellos expresan su alegría con una sonrisa. También hemos tenido salidas pedagógicas y disfrutado de piscina teniendo siempre mucho cuidado. Durante todos mis años de servicio puedo decir que solo he tenido una experiencia negativa en la prestación de servicio y está fue que un papito no gustaba de las mascotas y aducía que su hijo era alérgico y que era mi deber abandonar o dejar a mi perrito el cual lleva conmigo más de 10 años, pese a que mi perrito no tenía contacto con los niños pies mi jardín queda ubicado en el primer piso y mi perrito se la pasa en el segundo piso. Era tal la insistencia del señor que me ví en la obligación de decirle que no salía de mi perrito y él decidió retirar al niño y aprovechar que la esposa se había quedado sin trabajo. De resto todo el tiempo han Sido experiencias positivas.",#formando niños y niñas para el futuro,Motivación,Única vez,La comunidad y las relaciones. Aprendizaje y crecimiento. Crecimiento personal y logros.,1,0,1,0,0,0,0,1,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,1,1,0,1,0,Trabajo Colaborativo. Resolución de problemas. Creatividad e Innovación.,1,0,0,1,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,138242035,1c5d39d0-25dd-48e5-bb89-519497cac3ca,2020-11-17T20:44:35,,9,,,
2020-11-17T11:01:34.809-05:00,2020-11-17T13:32:10.938-05:00,2020-11-16,Sí,2020-11-17,Atlántico,,ASOCIACION EVARISTO SOURDIS,"Una vez yo estaba realizando mis actividades es con mis papitos,Y una mamita se le presentó un inconveniente y me pidió el favor que me quedara con el niño mientras regresará,yo  me quedé con el y al instante comenzó a llorar incontrolable,yo le hablaba,lo acariciaba,lo arrullaba y no se calmaba,entonces empeze a quitarle su ropita para ver si era algo que le picaba,pero seguía llorando,le quite todo menos los zapatitos,cuando empiezo a desamarrar los cordones y es ahí cuando el niño deja de llorar y me doy cuenta que la mamá del niño le había apretado muy fuerte los cordones y el niño entró en un descanso total ,ya tenía los pies moradito con mala circulación .Cuando llego la mamita le hice la observación del cuidado que debería tener con el bebé. Esta anécdota me marcó y me ha servido para de lección para los todos los papitos que ingresan a mi hogar.",Los cordones apretados,Motivación,Única vez,Aprendizaje y crecimiento.,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,138219228,f5bf7ffc-a4b2-4dc5-b990-8a1286ef9ba0,2020-11-17T18:32:23,,10,,,
